Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
at,00mbdmxq,1,"Thursday, October  4, 2012 16:25:02 UTC",59.0270,-136.7520,4.2,4.00, 7,"Southeastern Alaska"
ci,15224753,0,"Thursday, October  4, 2012 16:09:29 UTC",32.8035,-116.1432,1.5,8.10,41,"Southern California"
ak,10570504,1,"Thursday, October  4, 2012 16:04:43 UTC",61.5505,-140.5337,2.8,0.10,27,"Southern Yukon Territory, Canada"
nc,71852235,1,"Thursday, October  4, 2012 16:02:41 UTC",38.8095,-122.7930,1.4,3.40,27,"Northern California"
ak,10570500,1,"Thursday, October  4, 2012 15:58:10 UTC",64.5545,-147.1472,1.8,0.00,18,"Central Alaska"
ci,15224737,0,"Thursday, October  4, 2012 15:35:58 UTC",32.6722,-117.4732,1.8,7.00,14,"Channel Islands region, California"
hv,60408271,2,"Thursday, October  4, 2012 15:26:32 UTC",19.3325,-155.1283,1.9,7.50,25,"Island of Hawaii, Hawaii"
ci,15224729,0,"Thursday, October  4, 2012 15:17:52 UTC",33.0388,-116.4303,1.3,5.00,25,"Southern California"
nc,71852205,1,"Thursday, October  4, 2012 15:14:07 UTC",38.8082,-122.7917,2.3,3.40,45,"Northern California"
nc,71852200,1,"Thursday, October  4, 2012 15:08:22 UTC",38.8093,-122.7913,1.9,3.20,37,"Northern California"
ak,10570484,1,"Thursday, October  4, 2012 14:53:54 UTC",59.9297,-141.5918,2.0,3.20,20,"Southeastern Alaska"
us,c000d1cl,6,"Thursday, October  4, 2012 14:45:28 UTC",9.8615,126.3144,4.9,19.50,52,"Mindanao, Philippines"
nc,71852195,0,"Thursday, October  4, 2012 14:25:40 UTC",36.4660,-121.0433,1.3,3.40, 9,"Central California"
ci,15224713,0,"Thursday, October  4, 2012 14:20:22 UTC",32.8027,-116.1482,1.4,5.10,28,"Southern California"
ci,15224697,0,"Thursday, October  4, 2012 13:27:39 UTC",35.8975,-117.6520,1.3,6.60, 8,"Central California"
ci,15224689,0,"Thursday, October  4, 2012 13:12:30 UTC",32.7358,-115.4962,2.9,12.50,62,"Southern California"
ak,10570470,1,"Thursday, October  4, 2012 13:01:45 UTC",63.1669,-150.5402,2.4,117.30,29,"Central Alaska"
pr,12278002,0,"Thursday, October  4, 2012 12:57:59 UTC",19.3761,-64.9134,3.0,17.00, 3,"Virgin Islands region"
ak,10570466,1,"Thursday, October  4, 2012 12:29:27 UTC",61.3422,-150.6606,2.2,51.10,18,"Southern Alaska"
ak,10570462,1,"Thursday, October  4, 2012 12:06:09 UTC",61.0698,-148.2283,1.7,7.30, 8,"Southern Alaska"
ci,15224665,0,"Thursday, October  4, 2012 12:02:37 UTC",34.0122,-117.1732,1.5,10.80,89,"Greater Los Angeles area, California"
ci,15224649,0,"Thursday, October  4, 2012 11:25:55 UTC",34.0135,-117.1733,1.6,10.60,101,"Greater Los Angeles area, California"
ak,10570451,1,"Thursday, October  4, 2012 11:07:56 UTC",62.5377,-150.9331,1.8,104.00,20,"Central Alaska"
ak,10570447,1,"Thursday, October  4, 2012 10:54:27 UTC",61.9397,-148.9204,1.2,14.20, 8,"Southern Alaska"
nc,71852150,1,"Thursday, October  4, 2012 10:54:04 UTC",38.8182,-122.7917,2.0,3.90,41,"Northern California"
nc,71852145,0,"Thursday, October  4, 2012 10:48:14 UTC",36.4672,-121.0432,1.5,5.30,13,"Central California"
hv,60408221,1,"Thursday, October  4, 2012 10:36:44 UTC",19.2917,-155.4632,1.9,8.20,30,"Island of Hawaii, Hawaii"
ci,15224633,0,"Thursday, October  4, 2012 10:26:54 UTC",34.3288,-117.8373,1.6,20.10,21,"Southern California"
nc,71852140,0,"Thursday, October  4, 2012 10:16:03 UTC",38.8157,-122.8252,1.3,2.70,21,"Northern California"
ak,10570437,1,"Thursday, October  4, 2012 10:10:08 UTC",62.1412,-150.4508,1.7,12.40, 7,"Central Alaska"
uw,60472301,1,"Thursday, October  4, 2012 10:09:58 UTC",46.1682,-122.0333,1.8,24.10, 7,"Washington"
ci,15224617,0,"Thursday, October  4, 2012 10:05:39 UTC",32.6823,-115.7200,1.3,7.20,21,"Southern California"
ci,15224609,0,"Thursday, October  4, 2012 10:02:20 UTC",32.7960,-116.1460,1.4,7.30,41,"Southern California"
ak,10570426,1,"Thursday, October  4, 2012 09:33:52 UTC",61.3737,-150.7254,1.7,62.90, 6,"Southern Alaska"
ak,10570423,1,"Thursday, October  4, 2012 09:29:47 UTC",62.0858,-141.4881,2.4,0.00,20,"Central Alaska"
